corridor_application_id,fico_score,annual_income,dti_ratio,loan_purpose,risk_tier
example,600,63896.7466,0.2118,debt,C
specific,601,74119.8249,0.59,debt,C
put,602,60494.2551,0.3836,home,B
grow,603,70678.4085,0.0485,personal,A
brother,604,79800.0,0.3711,personal,B
finally,605,69705.497,0.011,auto,B
learn,606,58505.6493,0.4767,auto,C
coach,607,70014.6918,0.2016,home,C
long,608,56995.4541,0.2684,home,B
about,609,55245.7,0.5198,personal,A
seven,610,49817.6381,0.057,debt,B
type,611,77511.0149,0.0376,auto,B
serve,612,43063.3973,0.1816,auto,C
everyone,613,77062.0144,0.4689,debt,A
month,614,62129.3326,0.0159,auto,C
sound,615,34662.401,0.0,home,D
could,616,60217.163,0.2051,personal,A
movement,617,30000.0,0.3827,personal,B
while,618,63946.4694,0.4976,auto,A
born,619,67702.7448,0.203,auto,C
truth,620,46332.9955,0.2121,auto,C
process,621,56686.8203,0.4894,personal,B
fire,622,79800.001,0.0,personal,C
thought,623,47585.59,0.2162,auto,D
purpose,624,39585.448,0.3187,personal,A
movement_1,625,76328.6983,0.3646,debt,A
politics,626,79800.002,0.1947,auto,D
decide,627,54953.449,0.2911,home,C
claim,628,69528.3806,0.0,personal,D
hour,629,74301.2234,0.1684,home,C
sound_2,630,44161.751,0.3653,home,D
color,631,47881.2181,0.111,personal,B
notice,632,72701.6401,0.2954,debt,C
start,633,79269.6798,0.3641,debt,D
win,634,63040.7181,0.2243,personal,C
nice,635,42175.601,0.3152,personal,A
why,636,79800.003,0.1145,home,B
a,637,47220.7827,0.2484,personal,A
place,638,50053.0379,0.3931,home,A
game,639,59851.0936,0.3128,auto,B
middle,640,77377.1934,0.1811,personal,C
after,641,67250.709,0.3247,personal,C
brother_3,642,60900.0319,0.4116,home,B
woman,643,61600.3546,0.0,debt,C
him,644,55529.335,0.4903,auto,A
unit,645,62972.146,0.2254,home,A
theory,646,30000.004,0.3604,auto,A
surface,647,50610.2863,0.497,debt,C
food,648,58390.1415,0.0421,personal,A
education,649,38253.349,0.1594,home,B
article,650,60487.2378,0.2339,personal,B
effect,651,51942.8155,0.1462,home,D
unit_4,652,79800.005,0.59,debt,A
our,653,77649.9478,0.1333,home,C
your,654,48163.2425,0.1866,home,C
bar,655,52718.4952,0.3212,debt,D
bed,656,53830.5263,0.0721,auto,D
sign,657,48367.8317,0.2149,auto,A
mention,658,57720.5674,0.3412,personal,A
team,659,43933.2732,0.2261,debt,D
authority,660,38548.3679,0.2685,home,B
soon,661,63906.0205,0.1913,auto,C
no,662,64004.6317,0.0168,home,C
space,663,43267.5066,0.342,personal,C
car,664,67849.1633,0.59,auto,D
career,665,45765.7468,0.2883,personal,D
receive,666,58561.4264,0.3249,debt,C
may,667,66764.3035,0.4077,home,B
your_5,668,54413.8751,0.0602,home,D
often,669,61476.7338,0.5865,home,A
company,670,47431.087,0.3208,auto,A
evidence,671,52058.5833,0.574,debt,D
news,672,51922.7383,0.1552,home,B
turn,673,44102.5394,0.59,home,A
policy,674,52343.3868,0.4223,personal,A
land,675,32502.9601,0.3829,home,D
development,676,47796.6421,0.3264,personal,B
woman_6,677,50779.961,0.241,auto,C
notice_7,678,51194.9759,0.4976,debt,A
someone,679,51407.3202,0.3099,debt,D
show,680,54006.7294,0.0,personal,D
road,681,61833.9687,0.0871,debt,B
deep,682,67547.7866,0.2521,auto,B
sell,683,45502.7084,0.3399,home,A
forget,684,37498.5928,0.275,personal,D
inside,685,39829.3333,0.5009,personal,C
remain,686,47853.7813,0.0,home,D
rate,687,49810.3044,0.3104,home,B
hour_8,688,43763.8584,0.0,auto,D
left,689,36154.7891,0.4195,home,D
we,690,48303.309,0.2683,auto,C
nation,691,57523.8998,0.3593,personal,D
live,692,63505.6704,0.132,auto,B
camera,693,46838.2159,0.5116,auto,A
end,694,48926.9796,0.4695,personal,C
down,695,41497.5373,0.3883,personal,C
attack,696,54445.308,0.2621,debt,C
ground,697,42629.5199,0.3877,personal,A
against,698,63188.9157,0.1598,home,C
per,699,30000.006,0.4365,debt,B
once,700,49698.8216,0.5771,personal,B
drug,701,59254.7936,0.4746,auto,C
per_9,702,57558.7242,0.1558,personal,C
discussion,703,79800.007,0.349,debt,A
account,704,59959.0162,0.056,home,B
avoid,705,40378.7646,0.3864,home,B
second,706,53519.3392,0.3648,auto,A
program,707,30000.008,0.0,auto,D
artist,708,53734.3184,0.0792,home,D
drop,709,42851.8473,0.2349,personal,B
author,710,68138.9192,0.2317,auto,C
western,711,46952.2214,0.0708,debt,D
almost,712,53211.2618,0.3539,debt,D
trade,713,45708.1841,0.3295,personal,A
give,714,79800.009,0.2506,debt,D
avoid_10,715,50253.9958,0.1511,auto,B
my,716,79800.01,0.4707,home,B
economy,717,66674.7475,0.5782,personal,A
family,718,61871.936,0.1994,debt,B
relationship,719,60232.8383,0.1766,debt,A
mention_11,720,60595.331,0.372,home,A
difficult,721,30000.011,0.2216,debt,B
notice_12,722,50866.6223,0.2603,auto,D
cause,723,67123.1778,0.416,debt,D
several,724,54192.8198,0.0,debt,B
worry,725,34577.3078,0.5185,auto,D
us,726,54142.0956,0.2979,personal,D
own,727,79545.7886,0.2121,auto,D
part,728,72933.2904,0.2692,home,A
material,729,54003.2611,0.2783,personal,C
eight,730,68660.4259,0.0,personal,D
still,731,49599.3573,0.5498,debt,C
material_13,732,30257.5946,0.2923,personal,B
surface_14,733,41529.8225,0.3635,home,B
investment,734,77503.4279,0.4535,debt,C
customer,735,50937.3489,0.1042,debt,C
between,736,51380.036,0.3689,auto,A
