corridor_member_id,prior_loans_with_cu,loans_paid_in_full,ever_30_dpd_with_cu,months_since_last_cu_loan
fall,5,2,false,26.7133
table,3,3,false,79.2802
true,4,2,true,40.2116
according,2,2,false,34.6716
song,3,1,true,10.5606
sure,5,1,false,1.0
collection,5,2,true,7.1861
save,1,2,true,1.0
knowledge,3,1,false,12.2839
grow,4,3,false,1.0
fall,4,1,false,30.589
clearly,4,0,false,1.0
dinner,5,1,false,23.4935
source,2,2,false,1.0
great,1,2,false,68.4863
blue,6,2,false,1.0
best,2,0,false,1.0
husband,3,2,false,39.3707
bill,3,1,false,1.0
her,2,2,true,34.1764
throw,4,1,false,61.8091
guy,1,1,false,4.6631
PM,0,2,false,4.9581
everything,4,2,false,32.6237
surface,3,2,true,84.0
animal,3,2,false,77.6991
show,1,2,false,69.0167
machine,4,1,false,37.7677
not,4,1,false,4.6076
capital,3,5,false,1.0
win,5,1,false,15.3195
human,6,3,true,1.0
bar,4,3,false,19.55
old,2,3,false,31.9071
finally,3,3,false,53.1491
themselves,2,3,false,51.1581
production,5,0,false,1.0
present,3,2,true,39.2476
value,4,3,false,61.4549
training,5,2,false,48.9955
high,3,1,false,45.0353
participant,2,3,false,21.5435
dark,2,3,true,11.1574
sea,3,2,false,7.6617
available,4,1,false,21.7378
answer,3,1,false,31.3218
recently,3,4,false,1.0
drive,1,2,false,28.2758
spring,2,1,false,19.0988
figure,6,1,false,1.0
base,2,0,false,18.2206
top,2,1,false,48.9243
early,1,2,false,27.3482
trial,3,1,true,18.7396
blood,3,2,false,24.3558
husband,4,2,false,28.0793
fall,3,2,false,44.2077
long,4,0,false,25.0894
prove,1,2,false,4.3037
they,4,3,false,1.0
his,2,2,false,71.3287
commercial,3,3,false,25.9985
hospital,3,2,false,16.596
hear,6,1,false,37.5352
determine,3,1,true,46.7013
religious,0,1,false,6.742
example,2,1,true,18.5089
science,4,1,false,27.2051
write,3,1,false,49.5839
result,5,2,false,43.2391
raise,0,2,false,69.3441
away,2,2,true,43.5415
politics,5,3,true,64.2047
prove,0,2,false,16.2541
Congress,4,3,false,55.7533
none,1,1,true,75.6577
shoulder,3,2,false,15.3188
election,2,3,false,1.0
common,2,0,false,5.3213
maintain,0,2,false,1.206
hundred,0,1,false,13.3823
expect,3,1,false,1.0
wish,4,1,false,1.0
push,4,2,false,19.2268
rise,2,2,false,49.6594
onto,4,3,false,20.2408
discuss,2,1,false,44.3717
reveal,5,2,false,31.8171
garden,2,3,false,1.0
threat,5,2,false,25.9514
special,3,2,false,67.425
stand,3,3,false,1.0
arrive,1,2,false,24.9141
drop,0,3,false,70.0309
term,2,2,false,28.4099
almost,3,3,false,1.0
support,5,3,true,1.0
four,4,2,false,39.9838
institution,3,1,false,27.3473
executive,2,0,false,58.0213
attorney,2,2,false,36.8263
development,2,2,false,10.0412
white,2,1,false,14.407
yes,4,1,false,44.031
our,2,1,false,8.7441
under,3,3,false,1.2947
serious,3,2,false,13.2969
forward,0,2,false,84.0
difference,1,4,false,69.2553
reality,3,1,true,19.4678
money,1,2,false,9.9883
individual,2,1,false,37.6806
usually,1,1,false,26.825
who,1,0,false,26.2733
question,3,2,false,1.0
low,2,0,false,50.2566
character,3,2,false,39.1842
evidence,4,1,true,18.6373
chair,3,3,false,1.0
employee,6,2,false,1.0
size,1,2,false,35.6955
option,6,2,false,36.5521
nothing,1,1,false,54.6463
everyone,2,3,false,37.4376
skin,2,3,false,41.6143
pattern,4,2,false,1.0
later,3,0,false,25.7935
water,0,3,false,54.7746
past,2,0,false,11.4028
inside,3,1,false,1.0
high,4,0,true,49.5693
discuss,2,1,false,20.2365
certainly,3,0,false,26.6938
Mr,2,1,false,21.0057
minute,4,2,true,2.974
benefit,2,1,false,24.6775
someone,2,1,false,14.5498
anyone,0,2,true,42.0677
traditional,4,3,false,33.4262
break,3,3,false,32.1626
claim,1,1,false,11.1012
product,3,2,false,1.3132
collection,4,1,false,60.6115
structure,3,2,false,30.6603
response,4,1,true,51.6172
knowledge,3,3,false,26.9472
pick,3,2,false,17.704
attack,3,1,false,61.0482
image,4,0,false,38.3281
I,4,1,false,15.8981
pick,4,1,false,17.2683
management,4,2,false,25.7156
newspaper,3,4,false,43.7955
enter,0,2,false,17.6329
on,3,1,false,1.1478
traditional,2,1,false,55.9581
yes,3,1,false,43.8021
activity,5,3,false,27.6429
response,2,3,false,72.4951
set,3,0,true,60.4601
building,1,0,true,68.7767
rest,2,1,false,35.9294
value,1,2,false,55.0396
not,0,3,false,28.1255
social,1,2,true,26.1127
example,3,0,false,51.3884
specific,0,3,false,55.5586
put,4,1,false,56.2147
grow,4,2,false,54.4289
brother,3,1,false,1.0
finally,2,1,false,65.4031
learn,2,2,false,10.8843
coach,0,2,false,14.356
long,4,1,false,45.8173
about,3,3,false,51.6011
seven,2,2,false,1.0
type,2,1,false,77.4074
serve,2,2,false,10.5443
everyone,5,1,false,30.7297
month,2,3,true,69.7685
sound,0,2,false,16.6369
could,1,3,false,7.5737
movement,3,2,false,12.5936
while,0,1,false,34.0551
born,4,2,false,1.0
truth,4,2,false,1.0
process,2,3,false,1.0
fire,4,2,false,21.3772
thought,3,0,true,21.3091
purpose,3,0,false,39.7804
movement,1,0,false,4.699
politics,2,2,false,68.9774
decide,5,1,false,46.7728
claim,3,1,false,55.7127
hour,3,2,false,51.0781
sound,2,0,false,41.9404
color,2,3,true,30.2678
notice,4,1,false,30.111
start,1,4,false,43.0976
win,3,1,false,53.6086
nice,3,1,false,30.5898
why,4,3,false,52.3097
a,0,2,false,33.2534
place,0,3,false,39.0551
game,4,0,true,27.9089
middle,0,3,false,17.0095
after,5,1,false,41.8126
brother,4,2,false,35.5013
woman,2,3,false,30.3091
him,3,2,false,16.3483
unit,2,2,false,13.1199
theory,2,2,false,39.7875
surface,2,2,false,33.5552
food,1,3,false,16.1137
education,4,2,false,78.8113
article,3,0,false,67.7012
effect,3,1,false,22.8645
unit,0,2,false,31.88
our,5,1,false,1.0
your,5,2,false,14.7815
bar,2,1,false,37.5788
bed,4,1,false,5.9877
